datetime,district,temperature,humidity,rainfall
2026-04-25T06:00,Barguna,26.0,100,0.0
2026-04-25T07:00,Barguna,28.0,91,0.0
2026-04-25T08:00,Barguna,30.0,78,0.0
2026-04-25T09:00,Barguna,31.6,71,0.0
2026-04-25T10:00,Barguna,33.0,64,0.0
2026-04-25T11:00,Barguna,33.8,60,0.0
2026-04-25T12:00,Barguna,33.1,60,0.0
2026-04-25T13:00,Barguna,33.4,58,0.0
2026-04-25T14:00,Barguna,33.3,58,0.0
2026-04-25T15:00,Barguna,32.8,57,0.0
2026-04-25T16:00,Barguna,31.4,64,0.0
2026-04-25T17:00,Barguna,29.8,73,0.0
2026-04-25T18:00,Barguna,28.9,82,0.0
2026-04-25T19:00,Barguna,28.0,87,0.0
2026-04-25T20:00,Barguna,27.6,89,0.0
2026-04-25T21:00,Barguna,27.6,89,0.0
2026-04-25T22:00,Barguna,27.7,89,0.0
2026-04-25T23:00,Barguna,27.6,89,0.0
2026-04-26T00:00,Barguna,27.1,92,0.0
2026-04-26T01:00,Barguna,27.1,92,0.0
2026-04-26T02:00,Barguna,26.8,93,0.0
2026-04-26T03:00,Barguna,26.6,94,0.0
2026-04-26T04:00,Barguna,26.4,95,0.0
2026-04-26T05:00,Barguna,26.2,96,0.0
2026-04-26T06:00,Barguna,26.0,97,0.0
2026-04-26T07:00,Barguna,27.9,87,0.0
2026-04-26T08:00,Barguna,29.2,78,0.1
2026-04-26T09:00,Barguna,30.9,68,0.0
2026-04-26T10:00,Barguna,32.3,61,0.0
2026-04-26T11:00,Barguna,33.0,58,0.0
2026-04-26T12:00,Barguna,32.8,56,0.0
2026-04-26T13:00,Barguna,32.8,55,0.0
2026-04-26T14:00,Barguna,32.2,56,0.0
2026-04-26T15:00,Barguna,31.2,61,0.0
2026-04-26T16:00,Barguna,30.8,63,0.0
2026-04-26T17:00,Barguna,29.8,67,0.0
2026-04-26T18:00,Barguna,28.8,75,0.0
2026-04-26T19:00,Barguna,28.2,79,0.0
2026-04-26T20:00,Barguna,28.1,81,0.0
2026-04-26T21:00,Barguna,27.7,83,0.1
2026-04-26T22:00,Barguna,27.6,83,0.0
2026-04-26T23:00,Barguna,27.6,80,0.0
2026-04-27T00:00,Barguna,27.6,79,0.0
2026-04-27T01:00,Barguna,27.6,77,0.0
2026-04-27T02:00,Barguna,27.8,78,0.0
2026-04-27T03:00,Barguna,28.0,79,0.0
2026-04-27T04:00,Barguna,27.8,82,0.0
2026-04-27T05:00,Barguna,27.9,81,0.0
2026-04-27T06:00,Barguna,27.8,77,0.0
2026-04-27T07:00,Barguna,28.8,74,0.0
2026-04-27T08:00,Barguna,29.9,68,0.0
2026-04-27T09:00,Barguna,31.1,62,0.0
2026-04-27T10:00,Barguna,31.2,62,0.0
2026-04-27T11:00,Barguna,31.1,64,0.0
2026-04-27T12:00,Barguna,30.8,66,0.0
2026-04-27T13:00,Barguna,31.0,66,0.0
2026-04-27T14:00,Barguna,30.8,66,0.0
2026-04-27T15:00,Barguna,31.4,62,0.0
2026-04-27T16:00,Barguna,30.5,65,0.0
2026-04-27T17:00,Barguna,30.0,67,0.0
2026-04-27T18:00,Barguna,28.9,73,0.0
2026-04-27T19:00,Barguna,28.9,73,0.0
2026-04-27T20:00,Barguna,29.0,74,0.0
2026-04-27T21:00,Barguna,29.0,76,0.0
2026-04-27T22:00,Barguna,29.1,76,0.0
2026-04-27T23:00,Barguna,28.6,80,0.0
2026-04-28T00:00,Barguna,28.8,79,0.0
2026-04-28T01:00,Barguna,28.5,79,0.0
2026-04-28T02:00,Barguna,28.2,82,0.0
2026-04-28T03:00,Barguna,28.1,82,0.0
2026-04-28T04:00,Barguna,28.2,82,0.0
2026-04-28T05:00,Barguna,28.5,81,0.0
2026-04-28T06:00,Barguna,28.9,80,0.0
2026-04-28T07:00,Barguna,28.8,79,0.8
2026-04-28T08:00,Barguna,29.6,78,0.6
2026-04-28T09:00,Barguna,31.2,70,0.0
2026-04-28T10:00,Barguna,31.4,68,0.0
2026-04-28T11:00,Barguna,31.0,71,0.0
2026-04-28T12:00,Barguna,28.6,82,0.0
2026-04-28T13:00,Barguna,28.0,84,7.9
2026-04-28T14:00,Barguna,28.5,83,1.5
2026-04-28T15:00,Barguna,29.9,77,1.1
2026-04-28T16:00,Barguna,27.0,92,16.0
2026-04-28T17:00,Barguna,25.6,94,0.9
2026-04-28T18:00,Barguna,26.6,95,0.6
2026-04-28T19:00,Barguna,26.4,93,0.4
2026-04-28T20:00,Barguna,24.6,96,3.1
2026-04-28T21:00,Barguna,25.4,93,0.2
2026-04-28T22:00,Barguna,25.3,94,0.0
2026-04-28T23:00,Barguna,26.2,90,0.0
2026-04-29T00:00,Barguna,26.3,89,0.0
2026-04-29T01:00,Barguna,26.4,87,0.0
2026-04-29T02:00,Barguna,26.3,89,0.0
2026-04-29T03:00,Barguna,26.5,89,0.0
2026-04-29T04:00,Barguna,26.7,86,0.1
2026-04-29T05:00,Barguna,27.0,86,0.0
2026-04-29T06:00,Barguna,26.5,86,0.1
2026-04-29T07:00,Barguna,27.9,82,0.0
2026-04-29T08:00,Barguna,29.0,76,0.0
2026-04-29T09:00,Barguna,29.8,73,0.1
2026-04-29T10:00,Barguna,29.5,75,0.7
2026-04-29T11:00,Barguna,30.9,71,0.6
2026-04-29T12:00,Barguna,24.8,97,0.7
2026-04-29T13:00,Barguna,24.8,94,1.1
2026-04-29T14:00,Barguna,24.0,92,2.5
2026-04-29T15:00,Barguna,24.3,89,0.0
2026-04-29T16:00,Barguna,24.6,89,0.0
2026-04-29T17:00,Barguna,25.6,87,0.0
2026-04-29T18:00,Barguna,25.7,78,0.0
2026-04-29T19:00,Barguna,25.2,81,0.0
2026-04-29T20:00,Barguna,25.4,82,0.0
2026-04-29T21:00,Barguna,25.6,84,0.0
2026-04-29T22:00,Barguna,26.1,83,0.0
2026-04-29T23:00,Barguna,26.4,86,0.1
2026-04-30T00:00,Barguna,23.6,96,0.2
2026-04-30T01:00,Barguna,23.5,94,1.3
2026-04-30T02:00,Barguna,23.1,97,0.0
2026-04-30T03:00,Barguna,23.1,98,1.0
2026-04-30T04:00,Barguna,22.9,98,1.6
2026-04-30T05:00,Barguna,22.6,99,0.1
2026-04-30T06:00,Barguna,21.9,93,0.0
2026-04-30T07:00,Barguna,22.4,92,0.0
2026-04-30T08:00,Barguna,24.5,84,0.0
2026-04-30T09:00,Barguna,26.1,80,0.0
2026-04-30T10:00,Barguna,28.1,70,0.0
2026-04-30T11:00,Barguna,29.4,69,0.0
2026-04-30T12:00,Barguna,29.0,62,0.1
2026-04-30T13:00,Barguna,28.1,66,0.0
2026-04-30T14:00,Barguna,28.2,65,0.0
2026-04-30T15:00,Barguna,27.7,71,0.0
2026-04-30T16:00,Barguna,28.5,69,0.0
2026-04-30T17:00,Barguna,28.1,71,0.0
2026-04-30T18:00,Barguna,27.5,75,0.0
2026-04-30T19:00,Barguna,27.4,76,0.0
2026-04-30T20:00,Barguna,27.1,78,0.0
2026-04-30T21:00,Barguna,25.4,85,3.1
2026-04-30T22:00,Barguna,22.4,96,4.9
2026-04-30T23:00,Barguna,22.5,98,0.2
2026-05-01T00:00,Barguna,22.6,98,11.2
2026-05-01T01:00,Barguna,23.1,95,7.2
2026-05-01T02:00,Barguna,23.3,94,5.1
2026-05-01T03:00,Barguna,23.0,95,1.7
2026-05-01T04:00,Barguna,22.7,96,0.0
2026-05-01T05:00,Barguna,22.6,96,0.0
2026-05-01T06:00,Barguna,22.8,98,0.0
2026-05-01T07:00,Barguna,23.5,93,0.0
2026-05-01T08:00,Barguna,24.2,86,0.0
2026-05-01T09:00,Barguna,26.2,76,0.0
2026-05-01T10:00,Barguna,26.8,76,0.2
2026-05-01T11:00,Barguna,27.5,75,0.1
2026-05-01T12:00,Barguna,27.0,74,0.1
2026-05-01T13:00,Barguna,27.5,71,0.0
2026-05-01T14:00,Barguna,27.5,69,0.0
2026-05-01T15:00,Barguna,27.1,71,0.0
2026-05-01T16:00,Barguna,27.4,70,0.0
2026-05-01T17:00,Barguna,26.8,75,0.0
2026-05-01T18:00,Barguna,26.6,72,0.0
2026-05-01T19:00,Barguna,25.8,74,0.0
2026-05-01T20:00,Barguna,24.8,79,0.0
2026-05-01T21:00,Barguna,24.1,82,0.0
2026-05-01T22:00,Barguna,24.0,83,0.0
2026-05-01T23:00,Barguna,24.6,82,0.1
2026-05-02T00:00,Barguna,24.2,88,0.0
2026-05-02T01:00,Barguna,24.0,87,0.1
2026-05-02T02:00,Barguna,24.3,88,0.1
2026-05-02T03:00,Barguna,25.3,85,0.0
2026-05-02T04:00,Barguna,23.5,87,3.9
2026-05-02T05:00,Barguna,21.5,98,1.0
2026-05-02T06:00,Barguna,23.9,84,0.0
2026-05-02T07:00,Barguna,26.1,81,0.0
2026-05-02T08:00,Barguna,26.8,79,1.7
2026-05-02T09:00,Barguna,22.2,96,2.5
2026-05-02T10:00,Barguna,23.9,94,1.4
2026-05-02T11:00,Barguna,27.8,76,0.0
2026-05-02T12:00,Barguna,29.0,68,0.0
2026-05-02T13:00,Barguna,28.8,67,0.2
2026-05-02T14:00,Barguna,28.6,69,0.0
2026-05-02T15:00,Barguna,28.5,69,0.5
2026-05-02T16:00,Barguna,28.8,69,0.1
2026-05-02T17:00,Barguna,25.6,80,0.1
2026-05-02T18:00,Barguna,25.6,86,0.0
2026-05-02T19:00,Barguna,25.6,87,0.0
2026-05-02T20:00,Barguna,25.4,89,0.0
2026-05-02T21:00,Barguna,25.5,90,0.0
2026-05-02T22:00,Barguna,25.7,90,0.0
2026-05-02T23:00,Barguna,26.0,89,0.0
2026-05-03T00:00,Barguna,25.0,94,0.0
2026-05-03T01:00,Barguna,24.9,95,0.0
2026-05-03T02:00,Barguna,25.9,92,0.0
2026-05-03T03:00,Barguna,25.1,91,0.0
2026-05-03T04:00,Barguna,24.2,91,0.0
2026-05-03T05:00,Barguna,23.7,93,0.0
2026-05-03T06:00,Barguna,25.2,95,0.0
2026-05-03T07:00,Barguna,27.2,90,0.0
2026-05-03T08:00,Barguna,25.2,88,2.3
2026-05-03T09:00,Barguna,26.9,86,0.1
2026-05-03T10:00,Barguna,28.8,80,0.0
2026-05-03T11:00,Barguna,24.2,94,7.4
2026-05-03T12:00,Barguna,25.2,86,2.8
2026-05-03T13:00,Barguna,26.0,84,2.0
2026-05-03T14:00,Barguna,26.7,81,3.4
2026-05-03T15:00,Barguna,28.8,77,0.0
2026-05-03T16:00,Barguna,28.3,81,0.1
2026-05-03T17:00,Barguna,28.1,82,0.0
2026-05-03T18:00,Barguna,26.8,92,0.0
2026-05-03T19:00,Barguna,26.1,95,0.0
2026-05-03T20:00,Barguna,26.0,95,0.0
2026-05-03T21:00,Barguna,25.8,96,0.0
2026-05-03T22:00,Barguna,25.5,96,0.0
2026-05-03T23:00,Barguna,25.5,97,0.0
2026-05-04T00:00,Barguna,25.3,95,0.0
2026-05-04T01:00,Barguna,25.2,94,0.0
2026-05-04T02:00,Barguna,24.9,95,0.0
2026-05-04T03:00,Barguna,24.6,95,0.0
2026-05-04T04:00,Barguna,24.4,95,0.0
2026-05-04T05:00,Barguna,24.2,96,0.0
2026-05-04T06:00,Barguna,25.7,94,0.0
2026-05-04T07:00,Barguna,27.4,91,0.0
